ID;PT;SATELLITE_NAME;FREQ;POL;AZ_REAL;UM_REAL;COMMENT
1;2;BulgariaSat-1;12169;V;0;0;AC-7.2m
2;3;Eutelsat 3B ;3729;L;0;0;AC-7.2m
3;3;Rascom 1R ;3986;R;0;0;AC-7.2m
4;5;Astra 4A ;11747;V;0;0;AC-7.2m
5;5;SES 5 ;3663;L;0;0;AC-7.2m
6;7;Eutelsat 7B ;10721;H;0;0;AC-7.2m
7;7;Eutelsat 7C;10804;V;0;0;AC-7.2m
8;7;Eutelsat Konnect ;0;0;0;0;AC-7.2m
9;9;Eutelsat KA-SAT 9A ;20193;L;0;0;AC-7.2m
10;9;Eutelsat 9B ;11727;V;0;0;AC-7.2m
11;10;Echostar 21 ;0;0;0;0;AC-7.2m
12;10;Eutelsat 10A ;3650;R;0;0;AC-7.2m
13;11;Inmarsat GX5 ;0;0;0;0;AC-7.2m
14;13;Eutelsat Hot Bird 13B ;10815;H;0;0;AC-7.2m
15;13;Eutelsat Hot Bird 13E ;10727;H;0;0;AC-7.2m
16;13;Eutelsat Hot Bird 13C ;10758;V;0;0;AC-7.2m
17;16;Eutelsat 16A ;10762;H;0;0;AC-7.2m
18;17;Amos 17;11718;V;0;0;AC-7.2m
19;19;Astra 1N;11082;H;0;0;AC-7.2m
20;19;Astra 1L;10964;H;0;0;AC-7.2m
21;19;Astra 1KR;10729;V;0;0;AC-7.2m
22;19;Astra 1G;0;0;0;0;AC-7.2m
23;19;Astra 1M;10744;H;0;0;AC-7.2m
24;20;Arabsat 5C;3818;R;0;0;AC-7.2m
25;21;GovSat-1 ;0;0;0;0;AC-7.2m
26;21;Eutelsat 21B ;10856;V;0;0;AC-7.2m
27;23;Astra 2D;0;0;0;0;AC-7.2m
28;23;Astra 3B;11665;V;0;0;AC-7.2m
29;24;Skynet 5B;0;0;0;0;AC-7.2m
30;25;Es hail 1 ;11045;H;0;0;AC-7.2m
31;25;Alphasat I-XL ;0;0;0;0;AC-7.2m
32;25;Es hail 2;10770;H;0;0;AC-7.2m
33;26;Badr 7 ;11230;H;0;0;AC-7.2m
34;26;Badr 4 ;0;0;0;0;AC-7.2m
35;26;Badr 6 ;4102;L;0;0;AC-7.2m
36;26;Badr 5 ;11919;H;0;0;AC-7.2m
37;28;Astra 2A;0;0;0;0;AC-7.2m
38;28;Astra 2F;12148;H;0;0;AC-7.2m
39;28;Astra 2E;11914;H;0;0;AC-7.2m
40;28;Astra 2G;11038;V;0;0;AC-7.2m
41;29;XTAR-EUR ;0;0;0;0;AC-7.2m
42;31;Arabsat 6A;0;0;0;0;AC-7.2m
43;31;Hylas 3 ;0;0;0;0;AC-7.2m
44;31;Turksat 5A;10992;V;0;0;AC-7.2m
45;31;Arabsat 5A;10795;H;0;0;AC-7.2m
46;31;Hylas 2;19720;R;0;0;AC-7.2m
47;31;Astra 5B ;11817;V;0;0;AC-7.2m
48;33;Galaxy 14 ;0;0;0;0;AC-7.2m
49;33;Eutelsat 33E ;10999;H;0;0;AC-7.2m
50;33;Intelsat 28 ;0;0;0;0;AC-7.2m
51;36;Eutelsat 36B ;11727;L;0;0;AC-7.2m
52;36;Express AMU1 ;11747;R;0;0;AC-7.2m
53;38;Paksat-1R;3717;V;0;0;AC-7.2m
54;38;Athena Fidus;18996;L;0;0;AC-7.2m
55;39;HellasSat 3 ;11514;H;0;0;AC-7.2m
56;39;HellasSat 4 ;10730;H;0;0;AC-7.2m
57;40;Express AM7 ;3685;L;0;0;AC-7.2m
58;42;Nigcomsat 1R;0;0;0;0;AC-7.2m
59;42;Turksat 4A;11789;H;0;0;AC-7.2m
60;42;Turksat 3A ;10952;V;0;0;AC-7.2m
61;44;Thuraya 2;0;0;0;0;AC-7.2m
62;45;Azerspace 2 ;11475;V;0;0;AC-7.2m
63;46;Azerspace ;3754;V;0;0;AC-7.2m
64;48;GSAT 12;0;0;0;0;AC-7.2m
65;48;Al Yah 2 ;0;0;0;0;AC-7.2m
66;48;Eutelsat Quantum;0;0;0;0;AC-7.2m
67;48;GSAT 19 ;0;0;0;0;AC-7.2m
68;48;GSAT 31;0;0;0;0;AC-7.2m
69;49;Yamal 601 ;3594;R;0;0;AC-7.2m
70;50;Turksat 4B;11688;H;0;0;AC-7.2m
71;51;BELINTERSAT-1;11230;H;0;0;AC-7.2m
72;52;TurkmenAlem ;11221;V;0;0;AC-7.2m
73;53;Al Yah 1 ;11977;H;0;0;AC-7.2m
74;53;Skynet 5D;0;0;0;0;AC-7.2m
75;53;Express AM6 ;10974;H;0;0;AC-7.2m
76;55;GSAT 8 ;0;0;0;0;AC-7.2m
77;55;Yamal 402 ;10885;V;0;0;AC-7.2m
78;55;GSAT 16;0;0;0;0;AC-7.2m
79;55;GSAT 29;0;0;0;0;AC-7.2m
80;56;Express AT1;12284;R;0;0;AC-7.2m
81;56;Inmarsat GX4 ;0;0;0;0;AC-7.2m
82;57;NSS 12;4060;L;0;0;AC-7.2m
83;58;Kazsat 3;10804;H;0;0;AC-7.2m
84;60;Luch ;0;0;0;0;AC-7.2m
85;60;Intelsat 33e;11503;V;0;0;AC-7.2m
86;61;ABS-4 ;12214;V;0;0;AC-7.2m
87;62;Intelsat 39 ;3713;R;0;0;AC-7.2m
88;63;Inmarsat GX1 ;0;0;0;0;AC-7.2m
89;64;Intelsat 906 ;3639;R;0;0;AC-7.2m
90;64;Inmarsat-4F2 ;0;0;0;0;AC-7.2m
91;65;Amos 4;11310;H;0;0;AC-7.2m
92;66;Galaxy 25 ;0;0;0;0;AC-7.2m
93;66;Intelsat 17 ;12601;H;0;0;AC-7.2m
94;69;Intelsat 20 ;11010;V;0;0;AC-7.2m
95;69;Intelsat 36;0;0;0;0;AC-7.2m
96;70;Eutelsat 70B ;12516;V;0;0;AC-7.2m
97;72;Intelsat 22 ;3774;L;0;0;AC-7.2m
98;74;GSAT 7 ;0;0;0;0;AC-7.2m
99;74;GSAT 11;0;0;0;0;AC-7.2m
100;74;GSAT 14;0;0;0;0;AC-7.2m
101;74;GSAT 18;0;0;0;0;AC-7.2m
102;75;ABS-2A ;10985;H;0;0;AC-7.2m
103;75;ABS-2 ;3606;V;0;0;AC-7.2m
104;76;APSTAR 7;12505;V;0;0;AC-7.2m
105;79;Thaicom 6 ;0;0;0;0;AC-7.2m
106;79;Thaicom 8;0;0;0;0;AC-7.2m
107;80;Express 80;10981;V;0;0;AC-7.2m
108;83;GSAT 10;0;0;0;0;AC-7.2m
109;83;GSAT 6 ;0;0;0;0;AC-7.2m
110;83;GSAT 30;0;0;0;0;AC-7.2m
111;83;CMS 01 ;0;0;0;0;AC-7.2m
112;85;Horizons 2;0;0;0;0;AC-7.2m
113;85;Intelsat 15 ;11623;V;0;0;AC-7.2m
114;86;Kazsat 2;11499;V;0;0;AC-7.2m
115;88;ST 2;10982;V;0;0;AC-7.2m
116;88;Chinasat 12 ;3757;V;0;0;AC-7.2m
117;90;Yamal 401 ;3639;R;0;0;AC-7.2m
118;91;Measat 3A ;0;0;0;0;AC-7.2m
119;91;Measat 3B ;0;0;0;0;AC-7.2m
120;92;ChinaSat 9 ;0;0;0;0;AC-7.2m
121;93;GSAT 15;0;0;0;0;AC-7.2m
122;93;GSAT 17;0;0;0;0;AC-7.2m
123;95;SES 8;0;0;0;0;AC-7.2m
124;95;Luch 5V ;0;0;0;0;AC-7.2m
125;95;Skynet 5A;0;0;0;0;AC-7.2m
126;95;SES 12;0;0;0;0;AC-7.2m
127;96;Express 103;3875;R;0;0;AC-7.2m
128;97;GSAT 9 ;0;0;0;0;AC-7.2m
129;98;Chinasat 11;3975;V;0;0;AC-7.2m
130;98;Thuraya 3;0;0;0;0;AC-7.2m
131;101;AsiaSat 5;3726;V;0;0;AC-7.2m
132;101;ChinaSat 9B ;0;0;0;0;AC-7.2m
133;105;Asiastar 1 ;0;0;0;0;AC-7.2m
