ID;NAMESTATION;LATITUDE;LONGITUDE
1;Merlino;54.585644;31.567533
2;Voroneg;51.603209;39.260460
3;Kaliningrad NTT;54.383527;20.646658
4;Kaliningrad STC;54.675175;20.538136
5;Nalychik;43.542661;43.616163
6;Podolysk;55.282149;37.562469
7;Toksovo;60.164830;30.542884
8;Chelyabinsk;55.285132;61.384660
9;Temryuk;45.240767;37.261394
10;Petropavlovsk;53.049250;158.800105
11;Blagovechensk;50.302156;127.483857
12;Vladivostok;43.085932;131.859091
13;Yugno-Sahalinsk;46.936641;142.758806
14;Tabriz;37.895849;45.880431
15;Mashhad;36.259585;59.710902
16;Ahvaz;31.30982;48.517838
17;Chabahar;25.448356;60.60647
18;Asadabad;34.763782;48.093324
19;Station-1;54.585644;31.567533
20;Station-2;54.585644;31.567533
21;Station-3;54.585644;31.567533
22;Station-4;54.585644;31.567533
23;Station-5;54.585644;31.567533
24;Station-6;54.585644;31.567533
25;Station-7;54.585644;31.567533
26;Station-8;54.585644;31.567533
27;Station-9;54.585644;31.567533
28;Station-10;54.585644;31.567533
29;Station-11;54.585644;31.567533
30;Station-12;54.585644;31.567533
